,PDB ID,Drug IDs
438,1HY9,DB00182
439,1S9J,DB05239; DB06616; DB08911; DB11689; DB11967
443,1MEJ,DB00642
444,1AH1,DB06186; DB11771
446,3EPZ,DB00928; DB01262
448,1E4J,DB00028; DB06607
449,1H4O,DB00995
450,1ND8,DB04835
452,1FYR,DB08865; DB08875; DB11791; DB15133; DB16695
453,1ALU,DB09036; DB10772; DB13127
454,2K03,DB06809; DB12018; DB14939
455,1AYK,DB00786
456,1PME,DB01169
457,1MMH,DB00201; DB00277; DB00640; DB00651; DB00806; DB01303; DB01412; DB06213; DB11757; DB14132; DB17080
458,1NRN,DB09030
459,1Z6C,DB00464
460,1EKU,DB01250; DB10772; DB14724
462,1IVO,DB00364
463,1ILG,DB00530
464,1XKT,DB01034
466,3C6K,DB00127
467,1EUB,DB00786
468,1ADZ,DB14562
470,1BY7,DB00013
471,1A31,DB00762; DB00997; DB01030; DB04967; DB05630; DB12893; DB14962
472,1F42,DB05679
473,1KLA,DB01162; DB10772
475,2BZG,DB01250
476,1FKN,DB06073; DB12285
477,4V11,DB01202; DB05541; DB05885
479,1JH5,DB08879
480,1PU4,DB01275
481,1GWX,DB00159; DB00374; DB01393; DB09462
482,2CDW,DB00368; DB01064; DB01363; DB06262; DB08893; DB11124; DB14895
483,1AK4,DB00091
484,1BAS,DB00364; DB00686
485,1S1C,DB13931; DB16703
486,1XX9,DB00100; DB06404; DB09228; DB11300; DB11571; DB13152
488,1AP4,DB00922; DB01373
489,2W96,DB01169; DB11718
492,4JZJ,DB00020; DB14731
493,1HE7,DB08896; DB11986; DB13926; DB14723; DB16826
494,1A02,DB00210; DB01169
495,1AO3,DB00025; DB09108; DB09329; DB11606; DB11607; DB13998; DB13999; DB14738; DB15164; DB16007
497,1DOK,DB01055
498,1HIB,DB06168; DB10772
499,2ZOQ,DB01169
500,1GNG,DB12129
505,1D3E,DB08818
506,1MDI,DB08814
507,1TNR,DB00005
508,1A5H,DB00513; DB06404; DB09228
509,1SPJ,DB12598
510,1SG1,DB12157
511,1JNK,DB11718
513,1CVI,DB06688
514,1LS7,DB14040; DB14041; DB14042
515,1POZ,DB08818
516,1B3D,DB00786
517,1BYQ,DB12442
518,3J9P,DB00825; DB01744; DB11345; DB11755; DB14050
520,2ELI,DB06595
521,2QYK,DB00277; DB00651; DB00824; DB00975; DB01303; DB05266; DB06751
522,1EXT,DB11626
524,1ITQ,DB01597
525,3BRT,DB00795; DB00995; DB01169
526,1JV2,DB00054; DB00063; DB00098; DB00451; DB00775
527,1C9Q,DB04209
528,1L4T,DB00183; DB09142
529,1FSB,DB15271
530,1L8J,DB11328
531,1CP3,DB13048; DB13751
532,1FYW,DB00045; DB00210; DB11601
534,1W7B,DB00591
536,1GZK,DB12218
537,3LPO,DB00284
538,1AHW,DB13150; DB16732
539,1E88,DB08888
540,1A85,DB00786
541,2G47,DB00626
543,3LMK,DB00659
544,1NBD,DB04941; DB08820; DB09280; DB11712; DB15444
545,1JIZ,DB00786
546,1QCT,DB09078; DB11886; DB12147; DB15149
547,1DGB,DB01213
548,1HUL,DB06602; DB06612
549,1KHR,DB01764
550,1P4R,DB00563; DB00642
551,1ISF,DB02701
552,1T09,DB14568; DB16267
553,1L9K,DB00811
554,1EPW,DB13903
555,1AWW,DB09053; DB11703; DB14924; DB15035; DB15327; DB17472
556,1E9K,DB00651; DB03849
557,1E8Y,DB05552; DB11952
558,1A81,DB12010
559,5JCO,DB00570; DB00643
560,1SM2,DB14924
561,1CEF,DB00456
562,1C3B,DB00456
565,2BIT,DB00091
566,1A8D,DB11604
568,1AD5,DB06616
569,1BLS,DB09060; DB12107; DB12377
570,1RGY,DB00355
571,1A1Q,DB11586
572,1I2S,DB04272
573,1HQS,DB04272
574,1ELV,DB06404; DB09228; DB14996
575,1B59,DB01422
577,1A30,DB15673
578,1RM8,DB00786
579,1AYP,DB00328
580,1JCZ,DB00819
581,1DLE,DB16200
582,1UK0,DB09074; DB11760; DB11793; DB12332
583,1FXY,DB12598
584,1OSH,DB05990; DB16255
585,1FNM,DB02703
586,1FDQ,DB00159
587,1KTZ,DB10772
588,1PYY,DB01147
589,1AER,DB02701
591,1W1C,DB01169
592,1DDR,DB00440
595,1HD8,DB00274; DB01147; DB01329; DB01331
596,2KAV,DB00193; DB00252; DB00909
600,1Z1L,DB09273
603,1KV6,DB00255
604,3A7E,DB00323; DB00494; DB11632
605,1TQA,DB00357; DB00894; DB00990; DB01006; DB01217
606,1FZA,DB11300; DB11311; DB11571; DB11572; DB13151
607,1DUG,DB00009; DB11300; DB11571; DB11572
608,1APQ,DB06404; DB09228
609,3AY4,DB00028; DB06607; DB12023; DB16695
610,1FCG,DB00028; DB06607
611,2FCB,DB00028; DB00098
612,3WJL,DB00028
613,1ILL,DB00041
614,1H8U,DB06752
615,1C8P,DB00020
616,1O5E,DB00522
617,2V53,DB00048
618,1AGW,DB00398; DB08896; DB09078; DB09079; DB11886; DB12147; DB15102; DB15149
619,1RY7,DB09078; DB09079; DB11886; DB12147; DB15102; DB15149; DB17587
622,3FIE,DB00042
625,1U5M,DB00048
628,3RBF,DB00190; DB00968; DB12783
629,1EHO,DB00382; DB00449; DB00545; DB00677; DB00733; DB00772; DB00941; DB00989; DB01010; DB01057; DB01221
630,1UOU,DB09343
631,1GOS,DB00191; DB00752; DB00780; DB01037; DB01247; DB01363; DB01367; DB01442; DB01577; DB01626; DB06654
632,1H8Q,DB00191; DB00752; DB00780; DB00805; DB01171; DB01247; DB01363; DB01442; DB01577
633,2CKJ,DB00437; DB04854
635,1BI7,DB09073; DB11730; DB12001; DB15442
636,1M7M,DB00552; DB00975
637,1LD2,DB09073; DB11730; DB12001; DB15442
638,2G19,DB04847; DB11682; DB12255
640,2LCM,DB01202; DB05885; DB06283; DB08838; DB09231; DB09232
645,4F11,DB00181; DB08891; DB08892
646,2MAW,DB00184; DB00333; DB00674; DB01221; DB11726
648,4COF,DB00592; DB00818; DB01567; DB06716
650,4R3O,DB00188; DB08889
651,4R3O,DB00188; DB08889
652,4R3O,DB08889
653,1LXU,DB00651; DB05266
655,2VAY,DB00270; DB00393; DB00401; DB00568; DB01023; DB01054; DB01388; DB04855; DB09090; DB09229
656,1VYV,DB00393; DB01388; DB04855
659,3LV3,DB00270; DB00393; DB00401; DB00568; DB00622; DB01023; DB01054; DB01115; DB01388; DB04855; DB09229
663,1TYI,DB02546; DB06176
664,3MAX,DB00277; DB01223; DB01303; DB02546; DB06176; DB09091
665,4A69,DB02546
666,3C5K,DB02546
669,1JCQ,DB06448
670,1JCQ,DB06448
672,2ENQ,DB12015; DB12483
673,2Q7M,DB16346
674,1AUE,DB00337; DB00877; DB01590; DB06233; DB06287; DB11962
675,3G75,DB01051
677,1PMD,DB01150
680,1Z8E,DB04786
681,3BCH,DB01421
684,2B7A,DB08877; DB08895; DB11697; DB11763; DB11817; DB12500
685,1XPD,DB00398; DB00619; DB08875; DB08896; DB09078; DB15685; DB15822
686,1BIX,DB04967
687,1IAR,DB12159
688,1R46,DB05018
689,2L73,DB05265
690,3QX3,DB00694; DB00997
692,2HKF,DB12741
693,1GA3,DB11914; DB12159; DB12169
694,2ANW,DB05311; DB06404; DB09228; DB12831; DB14597; DB15982
696,2Z62,DB13615
697,1MQ0,DB15694
698,4MZV,DB09336
700,2UW2,DB00242
701,4I5I,DB15493
703,1TQN,DB09065
704,1B2Y,DB00284
705,1B0P,DB00507
706,1P5Z,DB01073
707,1YLW,DB09060; DB12107; DB12377
708,1YLT,DB09060; DB12107; DB12377
709,1YLP,DB09060; DB12107; DB12377
710,1IM7,DB11796
711,1N26,DB06273; DB11767; DB15762
712,1FZV,DB08885
713,1AII,DB00591; DB09095
714,1HZE,DB00140
715,1X8B,DB11740
716,2B4Y,DB04786
717,3V6O,DB09046
718,1FVR,DB08896; DB14840
719,3GC8,DB08896
720,1AAP,DB09148; DB09149; DB09151; DB12034; DB14580
721,2ZC5,DB01150
723,4AF3,DB12756
724,4KM6,DB05595; DB12489; DB15413
725,3D66,DB11311
726,2BRQ,DB09033; DB12189
727,3D85,DB11834; DB14910
730,2M2D,DB09035; DB09037; DB11595; DB14707; DB14922; DB15627; DB15766; DB16740
732,3BIK,DB11595; DB11714; DB11945
733,1C3D,DB00028; DB16694
734,1XIW,DB00075; DB09052
735,1SY6,DB00075
736,1TCE,DB00075
737,1F9E,DB05103
738,1OBX,DB12023
739,1I8H,DB01229; DB01248; DB14914
741,1QFA,DB00191
742,1D01,DB08870
744,1CDH,DB00098
746,1YVJ,DB08877; DB08895; DB11817; DB14924
749,1BL1,DB05084
750,4HNI,DB14989
752,2OBD,DB06281
753,3URF,DB00480; DB06643
754,3W3G,DB16324; DB16580
755,1BBN,DB12159
757,1A4G,DB00558
760,3N9Y,DB00357; DB05667
761,4DVQ,DB05667
764,2Q80,DB00399; DB00710; DB06548
765,4GUP,DB00098
766,1K11,DB00098
767,1JV2,DB00098; DB00451
771,3P0C,DB08838; DB09242
773,3P1N,DB00561; DB01159
774,2ASG,DB01090
775,4ZK4,DB00848; DB01090; DB05710
784,1S1G,DB04855; DB06217; DB06637
785,1HCF,DB14723; DB16826
786,3BUR,DB00548
788,2VUX,DB00242
790,2V6Z,DB00242
795,1HLG,DB01083
796,3EQU,DB00535
798,1E6F,DB16708
799,2WAD,DB00319; DB00415; DB00456; DB00485; DB00493; DB00567; DB00607; DB00713; DB00739; DB01066; DB01140; DB01163; DB01212; DB01331; DB01603; DB03313; DB08795
800,1Z93,DB00819
801,3MDZ,DB00311; DB00703; DB00819; DB01144
802,4LU3,DB00819
805,4L1D,DB00909
806,4MZ2,DB00909
810,2J28,DB13179
811,1J5A,DB13179
812,1FJG,DB01421
813,3IT9,DB00274; DB00303; DB00430; DB01329; DB01331
814,4OON,DB00430; DB01329; DB14879
817,1Q3A,DB00786
818,1MMP,DB00786
820,1BQQ,DB00786
824,2JSD,DB00786
831,2AUK,DB00615; DB11753
832,1M5G,DB00560; DB00759; DB09093; DB12455
833,1M5G,DB00560
834,1M5G,DB00560; DB00759; DB09093; DB12455
837,1Z5V,DB00570
843,2NOV,DB01044; DB06771
844,3FOE,DB01044
845,1FM6,DB04652
846,3IHY,DB11962
847,2NZL,DB15935
848,2AHS,DB16353
849,3E7O,DB11718
850,1UKH,DB11718
851,2X9E,DB15498
852,3KCZ,DB09074; DB11760; DB11793; DB12332
853,4UG0,DB01421
854,4UG0,DB04865
855,2Q8F,DB08809
857,1AXB,DB09060; DB12107; DB12377
858,1YSK,DB00795; DB04552
859,2A4Q,DB06290; DB13879
860,2J51,DB06616
861,2EOC,DB09074; DB12332
862,1D8D,DB15568; DB15569
863,1UEE,DB13900
864,2JLE,DB00238; DB00300; DB00495; DB00625; DB00649; DB00705; DB00709; DB00879; DB00900; DB00943; DB01048; DB08864; DB09299; DB11799; DB14126
865,3EYG,DB08877; DB08895; DB11763; DB11817; DB14845; DB14973; DB15091; DB16756
866,3LXN,DB08877; DB16650
867,1ANW,DB00591
868,1ONG,DB09060; DB12107
869,4L6Q,DB13931; DB16703
870,2CHN,DB00428
871,4V6X,DB12688
872,2C5W,DB00415; DB00456; DB00485; DB00493; DB00567; DB00607; DB00713; DB00739; DB01000; DB01140; DB01147; DB01163; DB01331; DB01603; DB03313; DB08795
873,1IK2,DB14921
874,1W1F,DB06616
875,2UWX,DB00319; DB00415; DB00456; DB00485; DB00493; DB00567; DB00607; DB00713; DB00739; DB01140; DB01163; DB01331; DB01603; DB03313; DB08795
876,3GNS,DB11155
877,2UX0,DB06616
882,3QDL,DB00916
883,3RGK,DB11588
884,1GZW,DB13123
885,1JUQ,DB01272
887,2HW5,DB09568
890,4JA8,DB13874
892,1Q3X,DB16418
896,3OC2,DB01413; DB06211; DB09050; DB14879
898,1M5G,DB00759; DB09093; DB12455
899,1EG0,DB00759; DB09093; DB12455
900,1EG0,DB00759; DB09093; DB12455; DB13092
902,2BMB,DB00634
903,4JKV,DB08828; DB11978
905,1Y5P,DB08838
909,2YVQ,DB06775
910,4BDW,DB06404; DB09228; DB12598
913,1HZF,DB00028
914,4XAM,DB00028
921,4BGC,DB06637
933,2C7W,DB08885
937,2WUH,DB08896
939,1K1F,DB00619; DB01254; DB08901
940,1S9I,DB06616; DB08911; DB11689; DB11967
941,2CU1,DB06616
943,1ACC,DB08902; DB09057
945,1C04,DB04865
948,4M91,DB00480; DB01041; DB08910
949,1U6D,DB08908
950,3S95,DB11718
953,2AHX,DB08916
956,1A6A,DB05121
957,2Q6W,DB05121
959,1FV1,DB05121
960,1BX2,DB05121
969,4COF,DB00186; DB00189; DB00228; DB00231; DB00237; DB00241; DB00292; DB00306; DB00312; DB00349; DB00371; DB00402; DB00404; DB00463; DB00475; DB00546; DB00628; DB00683; DB00690; DB00753; DB00794; DB00801; DB00818; DB00829; DB00842; DB00897; DB01028; DB01068; DB01107; DB01159; DB01189; DB01205; DB01215; DB01236; DB01437; DB01489; DB01511; DB01544; DB01545; DB01553; DB01558; DB01559; DB01587; DB01588; DB01589; DB01594; DB01595; DB01956; DB05087; DB09017; DB09118; DB09166; DB11582; DB11859; DB12404; DB13335; DB13437; DB13643; DB13837; DB13872; DB14028; DB14672; DB14715; DB14719; DB15489; DB15490
977,1HD8,DB00578; DB00671; DB01000; DB01602; DB09319
978,2EX2,DB00578; DB00671; DB01000; DB01602; DB09319
979,3IT9,DB00578; DB00671; DB01000; DB01602; DB09319
981,3FWL,DB00578; DB00671; DB01000; DB01602; DB09319
985,1CX8,DB13257
987,2HQW,DB00659; DB01043
988,3NFL,DB00659; DB01043
989,1S11,DB00659; DB01043
997,2G1X,DB01049; DB01239; DB11273; DB13025; DB13345
1002,4IB4,DB01049; DB01239; DB11273; DB13025; DB13345
1015,1HLL,DB00193; DB00217; DB06707; DB09167; DB09195; DB09202; DB11477; DB13025
1016,2CVA,DB00193; DB00217; DB06707; DB09167; DB09195; DB09202; DB11477; DB13025
1018,2LSQ,DB00867; DB01049; DB01118; DB11273; DB11278; DB13345
1019,1GQ4,DB00867; DB01049; DB01118; DB11273; DB11278; DB13345
1020,2CDW,DB00867; DB01049; DB01118; DB11273; DB11278; DB13345
1021,3KQ0,DB01041
1022,3APU,DB01041
1026,1HLL,DB01049; DB01365; DB09205; DB11273; DB11278; DB13345
1027,2CVA,DB01049; DB01365; DB09205; DB11273; DB11278; DB13345
1029,1OZ5,DB09225; DB11274
1032,1LUB,DB00340; DB11855
1033,2CSA,DB00340; DB11855
1036,2ELI,DB00675
1037,2I0E,DB00675
1038,1YRK,DB00675
1039,2WH0,DB00675
1040,2E73,DB00675
1041,1VD2,DB00675
1042,1XJD,DB00675
1047,2KAV,DB00907; DB05541; DB13269
1050,2KBI,DB00907; DB05541; DB13269
1056,4L1D,DB00907; DB05541; DB13269
1057,4MZ2,DB00907; DB05541; DB13269
1070,1T0J,DB00228; DB09235; DB11148
1071,3LV3,DB00228; DB09235; DB11148
1073,2VAY,DB00228; DB09235; DB11148
1077,1VYV,DB00228; DB09235; DB11148
1078,2LCM,DB00228; DB09235; DB11148
1079,3BXK,DB00228; DB09235; DB11148
1080,3BXL,DB00228; DB09235; DB11148
1084,1A3Q,DB13751
1085,1MDI,DB13751
1093,2K44,DB00867; DB09089
1095,1JO6,DB00867; DB09089
1102,4RED,DB00131
1103,2H6D,DB00131
1104,4CFE,DB00131
1105,2F15,DB00131
1106,2UV4,DB00131
1109,1H8Q,DB00182; DB01168
1110,1GOS,DB00182; DB01168
1111,1LXQ,DB09283
1112,1LXR,DB09283
1113,1LXS,DB09283
1114,1LRB,DB09283
1115,2QYK,DB09283
1116,1F0J,DB09283
1117,1LXU,DB09283
1118,1E9K,DB09283
1119,1LXW,DB09283
1120,1Z1L,DB09283
1121,1LRC,DB09283
1122,1SO2,DB09283
1123,1RKP,DB09283
1124,3JWQ,DB09283
1126,1ZKL,DB09283
1127,1LHQ,DB09283
1129,2HD1,DB09283
1132,2HQW,DB00193; DB00333
1133,3NFL,DB00193; DB00333
1134,1S11,DB00193; DB00333
1139,4JKQ,DB09085
1140,1YH3,DB16370
1142,2B0X,DB11614
1146,2VXS,DB09029; DB11569; DB12917
1148,4S0V,DB09034; DB11951; DB15031
1149,1AB4,DB11943
1152,2P4E,DB09302; DB09303; DB14901
1153,1E25,DB09060; DB18716
1155,2OV5,DB09060; DB12107
1156,4HBT,DB09060
1158,3V2W,DB08868; DB12016; DB12612; DB14766
1160,2L27,DB09067
1163,1F42,DB05679; DB14004; DB14762
1164,3D85,DB05679; DB14004; DB14762
1165,1TYI,DB05015; DB06603; DB11841
1168,3MAX,DB05015; DB06603; DB11841
1169,4A69,DB05015; DB06603; DB11841
1170,2H8N,DB05015; DB06603; DB11841
1171,5UWI,DB05015; DB06603; DB11841
1172,3C5K,DB05015; DB06603; DB11841
1173,3C0Y,DB05015; DB06603; DB11841
1174,1T64,DB05015; DB06603; DB11841
1185,2BVL,DB13140
1186,1T0J,DB00252; DB00653; DB00825; DB09089; DB09231; DB09232; DB09236; DB09238
1187,3LV3,DB00252; DB00653; DB00825; DB09089; DB09231; DB09232; DB09236; DB09238
1189,2VAY,DB00252; DB00653; DB00825; DB09089; DB09231; DB09232; DB09236; DB09238
1193,1VYV,DB00252; DB00653; DB00825; DB09089; DB09231; DB09232; DB09236; DB09238
1194,3BXK,DB00252; DB00653; DB00825; DB09089; DB09231; DB09232; DB09236; DB09238
1199,1CX8,DB13949; DB14520
1200,2JQ3,DB15067
1201,2EYI,DB06773
1202,2ZOC,DB00591
1203,1PFA,DB16019; DB16778
1205,3AQF,DB12457; DB15328; DB15688; DB16098
1212,2F37,DB11755; DB14050
1213,1ES7,DB11639
1216,2HLQ,DB11639
1220,1EGG,DB09266
1224,2QN0,DB13898
1225,2FPQ,DB13902
1226,1T3A,DB13897
1227,2A8A,DB13901
1228,1ZB7,DB13899
1229,2F9D,DB14017
1232,1OZ5,DB01049; DB11275; DB13345
1234,1I15,DB01049; DB11275; DB13345
1235,3PBL,DB01049; DB11275; DB13345
1239,2LUL,DB06616; DB14924
1241,2DM0,DB14924
1242,2C5D,DB12141
1243,2EKX,DB14924
1244,1X6A,DB11718
1245,3PLS,DB08865
1246,1WWC,DB11986; DB14723; DB16826
1247,3ZBF,DB08865; DB11986; DB16826
1248,5WRJ,DB12532
1251,1A3Q,DB14059
1252,1MDI,DB14059
1253,1NFI,DB14059
1257,2C6V,DB12887; DB14581
1259,3BXL,DB00555
1260,1BYW,DB01118
1266,3GJ9,DB04855
1268,2K8P,DB11866
1271,1P97,DB15463
1272,3KG5,DB12240
1274,2IQP,DB11700
1275,1W9C,DB11942
1278,5KS2,DB00314; DB06827
1279,2ZNL,DB13997
1284,2KAV,DB00273; DB00555; DB00564; DB01161; DB09085; DB09088; DB09342; DB09345
1287,2KBI,DB00273; DB00555; DB00564; DB01161; DB09085; DB09088; DB09342; DB09345
1291,1T0J,DB00273; DB09235
1292,3LV3,DB00273; DB09235
1294,2VAY,DB00273; DB09235
1298,1VYV,DB00273; DB09235
1308,3OA1,DB11603
1310,1J8F,DB15493
1311,1LU7,DB15495; DB15496
1313,1LXR,DB00201
1314,1E9K,DB00201
1315,1SO2,DB00201
1316,1RKP,DB00201
1317,2ZNS,DB00273
1318,3QXM,DB00273
1322,1DXX,DB15593
1323,5SVJ,DB15097
1327,3MWD,DB11936
1329,2DCO,DB14766
1330,2MAE,DB12893
1333,4ZK4,DB00202; DB00565
1334,2GVT,DB00202; DB00565
1337,2MAW,DB00202; DB00565
1338,4D01,DB00202; DB00565
1339,2GVT,DB00202; DB00565
1341,2ASG,DB00202; DB00565
1342,2QYK,DB01427; DB01656; DB01954
1343,1F0J,DB01427; DB01656; DB01954
1344,1LXU,DB01427; DB01656; DB01954
1345,1E9K,DB01427; DB01656; DB01954
1346,1AZM,DB00562; DB00606
1347,3CZV,DB00562; DB00606
1348,4LU3,DB00562; DB00606
1349,12CA,DB00562; DB00606
1350,1Z93,DB00562; DB00606
1351,1ZNC,DB00562; DB00606
1354,3FE4,DB00562; DB00606
1355,3MDZ,DB00562; DB00606
1356,2HKF,DB00562; DB00606
1358,1N3Y,DB00095
1359,6A69,DB01159
1362,1CFF,DB01159
1363,3PG4,DB04272
1364,1DR1,DB03904
1371,6A69,DB01189; DB01236
1374,1CFF,DB01189; DB01236
1377,1OQD,DB16655; DB16665; DB16738
1378,5R7Y,DB14761; DB16514; DB16691
1379,4WUR,DB15797
1380,4R3D,DB15797
1381,6LVN,DB12411; DB15691; DB15718; DB15897; DB15940; DB15941; DB16393; DB16394; DB16405; DB16755
1382,2EBO,DB15898; DB15899; DB15900; DB16385
1384,1AJ7,DB15258
1385,2QSC,DB15258
1386,1ADQ,DB15258
1387,4WWI,DB15258
1388,1Z3S,DB15303
1389,2WZ1,DB15456
1390,2QQJ,DB16453
1391,6EUA,DB15354
1392,4AP8,DB16628
1401,2MKV,DB16690
1403,3UVJ,DB09401
1405,2WZ1,DB09401
1410,1V0X,DB00328; DB01250
1411,5O9H,DB15011
1416,3ALN,DB11718
1418,3S98,DB15119
1419,1N6U,DB15119
1420,1F6A,DB11856
1421,1NYS,DB16379
1424,4CLF,DB02587
1433,5J11,DB15090
1434,1EXU,DB14919; DB15270
1435,1JPY,DB12917
1436,1TVB,DB15283
1438,1T5Q,DB15171
1439,6U6U,DB15626
1440,1XIW,DB16371; DB16655; DB16684
1441,1A81,DB16371; DB16655; DB16684
1442,1SY6,DB16371; DB16655; DB16684
1443,1TCE,DB16371; DB16655; DB16684
1444,7RY7,DB17096
1446,2MDP,DB16258
1447,1G2C,DB16258
1450,4BPU,DB01280
1454,1XIW,DB16678
1455,1A81,DB16678
1456,1SY6,DB16678
1457,1TCE,DB16678
1459,2X18,DB12218
1460,2N80,DB13926
1461,2KR6,DB12005
